“Aywayashqaatapis pesakuyaami“, niyaanaq.	[['aywa[VTr]+yaA[Pl]+shqa[Prf](N)+ː[Poss.1Sg]+ta[Obj]+pis[Coord]'], ['pesa[V]+kU[Refl/Mid]+yaA[Pl]+ː[1]+mi[Asrt]'], ['ni[VTr]+yaA[Pl]+naq[Rpst]']]	[[('Aywa', 'aywa'), ('ya', 'yaA'), ('shqa', 'shqa'), ('a', 'ː'), ('ta', 'ta'), ('pis', 'pis')], [('pesa', 'pesa'), ('ku', 'kU'), ('ya', 'yaA'), ('a', 'ː'), ('mi', 'mi')], [('ni', 'ni'), ('yaa', 'yaA'), ('naq', 'naq')]]
Despwes almorsarikurnam, padre Guillermuwan wiyarayarqaa radyuchaw Mehikuchaw pukllaqkunata.	[['despwes[ADV]'], ['almorsa[VInt]+rI[Pct]+yku[Intens]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['padre[N]'], ['guillermu[PROPN]+wan[Com]'], ['wiya[VTr]+rI[Pct]+yaA[Pl]+rqa[Pst]+ː[1]'], ['radyu[N]+chaw[Loc]'], ['mehiku[PROPN]+chaw[Loc]'], ['pukllaq[N]+kuna[Pl]+ta[Obj]']]	[[('Despwes', 'despwes')], [('almorsa', 'almorsa'), ('ri', 'rI'), ('ku', 'yku'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('padre', 'padre')], [('Guillermu', 'guillermu'), ('wan', 'wan')], [('wiya', 'wiya'), ('ra', 'rI'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('radyu', 'radyu'), ('chaw', 'chaw')], [('Mehiku', 'mehiku'), ('chaw', 'chaw')], [('pukllaq', 'pukllaq'), ('kuna', 'kuna'), ('ta', 'ta')]]
Tsaynash rogarqunaq Felipeqa kabutaqa, “Señor, ama karselmanqa pasatsimaytsu.	[['tsay[PRON]+na[Acp]+shi[Nfh]'], ['roga[V]+rqu[RecPst][3]+naq[Rpst]'], ['felipe[PROPN]+qa[Top]'], ['kabu[N]+ta[Obj]+qa[Top]'], ['señor[N]'], ['ama[ADV]'], ['karsel[N]+man[Dat]+qa[Top]'], ['pasa[VInt]+tsi[Caus]+maA[1.Obj]+y[Imp.2]+tsu[Neg]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('sh', 'shi')], [('roga', 'roga'), ('rqu', 'rqu'), ('naq', 'naq')], [('Felipe', 'felipe'), ('qa', 'qa')], [('kabu', 'kabu'), ('ta', 'ta'), ('qa', 'qa')], [('Señor', 'señor')], [('ama', 'ama')], [('karsel', 'karsel'), ('man', 'man'), ('qa', 'qa')], [('pasa', 'pasa'), ('tsi', 'tsi'), ('ma', 'maA'), ('y', 'y'), ('tsu', 'tsu')]]
Tsaynam patsa ampiiriptin, nuqana sendirqaa hatun linternaata.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['patsa[N]'], ['ampiiri[VInt]+pti[Cnv](N)+n[Poss.3]'], ['nuqa[PRON.Prs]+na[Acp]'], ['sendi[VTr]+rqa[Pst]+ː[1]'], ['hatun[ADJ]'], ['linterna[N]+ː[Poss.1]+ta[Obj]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('patsa', 'patsa')], [('ampiiri', 'ampiiri'), ('pti', 'pti'), ('n', 'n')], [('nuqa', 'nuqa'), ('na', 'na')], [('sendi', 'sendi'), ('rqa', 'rqa'), ('a', 'ː')], [('hatun', 'hatun')], [('linterna', 'linterna'), ('a', 'ː'), ('ta', 'ta')]]
I manam paypita ni pi eskapankitsu.”	[['i[CCONJ]'], ['mana[ADV]+mi[Asrt]'], ['pay[PRON.Prs]+pita[Abl]'], ['ni[ADV]'], ['pi[PRON]'], ['eskapa[VInt]+nki[2]+tsu[Neg]']]	[[('I', 'i')], [('mana', 'mana'), ('m', 'mi')], [('pay', 'pay'), ('pita', 'pita')], [('ni', 'ni')], [('pi', 'pi')], [('eskapa', 'eskapa'), ('nki', 'nki'), ('tsu', 'tsu')]]
Las onse de la mañana misa de fyesta karqan.	[['las[DET]'], ['onse[NUM.Card]'], ['de[ADP]'], ['la[DET]'], ['mañana[N]'], ['misa[N]'], ['de[ADP]'], ['fyesta[N]'], ['ka[AUX]+rqa[Pst]+n[3]']]	[[('Las', 'las')], [('onse', 'onse')], [('de', 'de')], [('la', 'la')], [('mañana', 'mañana')], [('misa', 'misa')], [('de', 'de')], [('fyesta', 'fyesta')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')]]
Lehyon de Mariata hundayta munarmi, permisuta mañarqaa señor obisputa.	[['lehyon[N]'], ['de[ADP]'], ['maria[PROPN]+ta[Obj]'], ['hunda[VTr]+y[Inf]+ta[Obj]'], ['muna[VTr]+r[Cnv](N)+mi[Asrt]'], ['permisu[N]+ta[Obj]'], ['maña[VTr]+rqa[Pst]+ː[1]'], ['señor[N]'], ['obispu[N]+ta[Obj]']]	[[('Lehyon', 'lehyon')], [('de', 'de')], [('Maria', 'maria'), ('ta', 'ta')], [('hunda', 'hunda'), ('y', 'y'), ('ta', 'ta')], [('muna', 'muna'), ('r', 'r'), ('mi', 'mi')], [('permisu', 'permisu'), ('ta', 'ta')], [('maña', 'maña'), ('rqa', 'rqa'), ('a', 'ː')], [('señor', 'señor')], [('obispu', 'obispu'), ('ta', 'ta')]]
Minero runakunawan parlarirnam contrato nishqan papelta qillqariyarqan.	[['minero[N]'], ['runa[N]+kuna[Pl]+wan[Com]'], ['parla[VInt]+rI[Pct]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['contrato[N]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]'], ['papel[N]+ta[Obj]'], ['qillqa[VTr]+rI[Pct]+yaA[Pl]+rqa[Pst]+n[3]']]	[[('Minero', 'minero')], [('runa', 'runa'), ('kuna', 'kuna'), ('wan', 'wan')], [('parla', 'parla'), ('ri', 'rI'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('contrato', 'contrato')], [('ni', 'ni'), ('shqa', 'shqa'), ('n', 'n')], [('papel', 'papel'), ('ta', 'ta')], [('qillqa', 'qillqa'), ('ri', 'rI'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')]]
Chaariyaa kasi la una de la tardinawlla.	[['chaa[VTr]+rI[Pct]+yaA[Pl]+ː[1]'], ['kasi[ADV]'], ['la[DET]'], ['una[NUM.Card]'], ['de[ADP]'], ['la[DET]'], ['tardi[N]+naw[Equ]+lla[Lim]']]	[[('Chaa', 'chaa'), ('ri', 'rI'), ('ya', 'yaA'), ('a', 'ː')], [('kasi', 'kasi')], [('la', 'la')], [('una', 'una')], [('de', 'de')], [('la', 'la')], [('tardi', 'tardi'), ('naw', 'naw'), ('lla', 'lla')]]
Sonsuqa nin, “Maytaq dokumentu?”	[['sonsu[N]+qa[Top]'], ['ni[VTr]+n[3]'], ['may[PRON]+taq[Ctrs](Pron.Interr)'], ['dokumentu[N]']]	[[('Sonsu', 'sonsu'), ('qa', 'qa')], [('ni', 'ni'), ('n', 'n')], [('May', 'may'), ('taq', 'taq')], [('dokumentu', 'dokumentu')]]
